Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
19-AUG-2019,11094.8,11146.9,11037.85,11053.9,369493161,14120.35
20-AUG-2019,11063.9,11076.3,10985.3,11017,444715679,16915.96
21-AUG-2019,11018.15,11034.2,10906.65,10918.7,557867906,16747.99
22-AUG-2019,10905.3,10908.25,10718.3,10741.35,668193449,18764.38
23-AUG-2019,10699.6,10862.55,10637.15,10829.35,667079625,20983.75
26-AUG-2019,11000.3,11070.3,10756.55,11057.85,684141923,22375.99
27-AUG-2019,11106.55,11141.75,11049.5,11105.35,685551267,27413.16
28-AUG-2019,11101.3,11129.65,10987.65,11046.1,549954696,16739.43
29-AUG-2019,10996.05,11021.1,10922.4,10948.3,649876160,20127.77
30-AUG-2019,10987.8,11042.6,10874.8,11023.25,628154431,21057.31
03-SEP-2019,10960.95,10967.5,10772.7,10797.9,483038985,16595.6
04-SEP-2019,10790.4,10858.75,10746.35,10844.65,508784352,19195.1
05-SEP-2019,10860.95,10920.1,10816,10847.9,595699267,18279.88
06-SEP-2019,10883.8,10957.05,10867.45,10946.2,497214445,18167.78
09-SEP-2019,10936.7,11028.85,10889.8,11003.05,412471067,14762.07
11-SEP-2019,11028.5,11054.8,11011.65,11035.7,687140326,19550.59
12-SEP-2019,11058.3,11081.75,10964.95,10982.8,551436050,17510.17
13-SEP-2019,10986.8,11084.45,10945.75,11075.9,624305151,18012.76
16-SEP-2019,10994.85,11052.7,10968.2,11003.5,434449776,15786.17
17-SEP-2019,11000.1,11000.1,10796.5,10817.6,482013044,17721.93
18-SEP-2019,10872.8,10885.15,10804.85,10840.65,519155072,16784.43
19-SEP-2019,10845.2,10845.2,10670.25,10704.8,642599183,16642.83
20-SEP-2019,10746.8,11381.9,10691,11274.2,1356767450,54081.53
23-SEP-2019,11542.7,11694.85,11471.35,11600.2,882826741,40005.01
24-SEP-2019,11590.7,11655.05,11539.2,11588.2,651722255,26930.07
25-SEP-2019,11564.85,11564.95,11416.1,11440.2,629054640,25266.24
26-SEP-2019,11469.85,11610.85,11466.35,11571.2,844465614,30707.84
27-SEP-2019,11556.35,11593.6,11499.75,11512.4,650017280,19036.94
30-SEP-2019,11491.15,11508.25,11390.8,11474.45,756848686,23748.07
01-OCT-2019,11515.4,11554.2,11247.9,11359.9,1305415159,28972.72
03-OCT-2019,11322.25,11370.4,11257.35,11314,1017479514,21658.38
04-OCT-2019,11388.45,11400.3,11158.35,11174.75,928524450,22470.76
07-OCT-2019,11196.2,11233.85,11112.65,11126.4,733198763,18641.37
09-OCT-2019,11152.95,11321.6,11090.15,11313.3,741148639,20961.54
10-OCT-2019,11280.5,11293.35,11208.55,11234.55,562017945,19234.31
11-OCT-2019,11257.7,11362.9,11189.4,11305.05,737795150,22511.39
14-OCT-2019,11335.9,11420.45,11290.05,11341.15,587579191,17499.48
15-OCT-2019,11360.85,11462.35,11342.1,11428.3,527396180,17041.55
16-OCT-2019,11464.95,11481.05,11411.1,11464,533468525,18266.06
17-OCT-2019,11466.3,11599.1,11439.65,11586.35,797572398,20839.2
18-OCT-2019,11580.3,11684.7,11553.15,11661.85,853440208,22315.99
22-OCT-2019,11657.15,11714.35,11573.65,11588.35,867601307,29726.27
23-OCT-2019,11596.2,11651.6,11554.4,11604.1,664159887,23397.69
24-OCT-2019,11661.65,11679.6,11534.65,11582.6,700481662,25177.46
25-OCT-2019,11646.15,11646.9,11490.75,11583.9,812027840,23611.51
27-OCT-2019,11662.25,11672.4,11604.6,11627.15,161779004,3548.21
29-OCT-2019,11643.95,11809.4,11627.35,11786.85,951722529,27054.87
30-OCT-2019,11883.9,11883.95,11784.45,11844.1,725219760,22672.18
31-OCT-2019,11890.45,11945,11855.1,11877.45,1414837250,31304.73
01-NOV-2019,11886.6,11918.3,11843.35,11890.6,855338495,24933.55
04-NOV-2019,11928.9,11989.15,11905.35,11941.3,823050457,23203.88
05-NOV-2019,11974.6,11978.95,11861.9,11917.2,631952071,20995.88
06-NOV-2019,11911.5,12002.9,11850.25,11966.05,603351290,23324.97
07-NOV-2019,12021.1,12021.4,11946.85,12012.05,562963817,20898.24
08-NOV-2019,11987.15,12034.15,11888.75,11908.15,789254360,22931.52
11-NOV-2019,11879.2,11932.65,11853.95,11913.45,548979515,16548.47
13-NOV-2019,11908.3,11946.8,11823.2,11840.45,659035969,20401.5
14-NOV-2019,11858.75,11895.65,11802.65,11872.1,559494025,19114.86
15-NOV-2019,11904.2,11973.65,11879.25,11895.45,580154179,22350.63
18-NOV-2019,11915.15,11946.2,11867.6,11884.5,514352437,17991.41
19-NOV-2019,11919.45,11958.85,11881.75,11940.1,613909679,21574.84
20-NOV-2019,12004.75,12038.6,11966.05,11999.1,646661147,24341.14
21-NOV-2019,12025.65,12028.2,11956.9,11968.4,557685781,21609.99
22-NOV-2019,11967.3,11968.1,11883.5,11914.4,486815185,19243.57
25-NOV-2019,11922.45,12084.5,11919.75,12073.75,534289467,19990.44
26-NOV-2019,12110.2,12132.45,12006.35,12037.7,1201335831,46030.62
27-NOV-2019,12068.5,12114.9,12055.15,12100.7,584226618,19937.4
28-NOV-2019,12132.1,12158.8,12099.95,12151.15,620479403,21229.58
29-NOV-2019,12146.2,12147.4,12017.4,12056.05,804430391,21838.04
02-DEC-2019,12137.05,12137.15,12023.7,12048.2,720945335,23113.18
03-DEC-2019,12067.65,12068.6,11956.4,11994.2,605789334,18203.76
04-DEC-2019,11969.95,12054.7,11935.3,12043.2,747193818,22132.83
05-DEC-2019,12071.25,12081.2,11998.75,12018.4,562228745,19589.81
06-DEC-2019,12047.35,12057.05,11888.85,11921.5,609221205,18245.49
09-DEC-2019,11939.1,11981.95,11888.05,11937.5,599115748,16672.87
10-DEC-2019,11950.5,11953.2,11844.7,11856.8,650219487,16514.63
11-DEC-2019,11867.35,11923.2,11832.3,11910.15,997655048,18760.57
12-DEC-2019,11944.3,12005.5,11934,11971.8,752617138,18401.22
13-DEC-2019,12026.4,12098.85,12023.6,12086.7,597712516,20626.8
16-DEC-2019,12131.35,12134.65,12046.3,12053.95,437703921,16110.34
17-DEC-2019,12082.45,12182.75,12070.35,12165,499585789,20968.79
18-DEC-2019,12197,12237.7,12163.45,12221.65,518854651,22341.06
19-DEC-2019,12223.4,12268.35,12191.15,12259.7,623049839,19761.9
20-DEC-2019,12266.45,12293.9,12252.75,12271.8,810676090,25750.24
23-DEC-2019,12235.45,12287.15,12213.25,12262.75,604782354,18078.23
24-DEC-2019,12269.25,12283.7,12202.1,12214.55,470290298,13864.56
26-DEC-2019,12211.85,12221.55,12118.85,12126.55,520326632,16362.31
27-DEC-2019,12172.9,12258.45,12157.9,12245.8,383788556,13676.2
30-DEC-2019,12274.9,12286.45,12213.8,12255.85,411084614,14556.73
31-DEC-2019,12247.1,12247.1,12151.8,12168.45,426931711,14812.89
01-JAN-2020,12202.15,12222.2,12165.3,12182.5,304078039,10445.68
02-JAN-2020,12198.55,12289.9,12195.25,12282.2,407697594,15256.55
03-JAN-2020,12261.1,12265.6,12191.35,12226.65,428770054,16827.27
06-JAN-2020,12170.6,12179.1,11974.2,11993.05,396501419,16869.22
07-JAN-2020,12079.1,12152.15,12005.35,12052.95,447818617,17797.68
08-JAN-2020,11939.1,12044.95,11929.6,12025.35,445991640,18281.15
09-JAN-2020,12153.15,12224.05,12132.55,12215.9,477469878,18456.64
10-JAN-2020,12271,12311.2,12213.2,12256.8,660627930,18818.62
13-JAN-2020,12296.7,12337.75,12285.8,12329.55,500968242,17522.13
14-JAN-2020,12333.1,12374.25,12308.7,12362.3,616260555,17948.92
15-JAN-2020,12349.4,12355.15,12278.75,12343.3,684352965,17882.51
16-JAN-2020,12347.1,12389.05,12315.8,12355.5,395670245,16004.06
17-JAN-2020,12328.4,12385.45,12321.4,12352.35,502060615,21397.63
20-JAN-2020,12430.5,12430.5,12216.9,12224.55,491609317,21415.43
21-JAN-2020,12195.3,12230.05,12162.3,12169.85,443976442,18682.65
22-JAN-2020,12218.35,12225.05,12087.9,12106.9,526294513,19758.68
23-JAN-2020,12123.75,12189,12094.1,12180.35,867653663,23829.39
24-JAN-2020,12174.55,12272.15,12149.65,12248.25,593237908,18032.27
27-JAN-2020,12197.1,12216.6,12107,12119,441158138,17988.61
28-JAN-2020,12148.1,12163.55,12024.5,12055.8,478484057,20917.62
29-JAN-2020,12114.9,12169.6,12103.8,12129.5,514362340,20646.18
30-JAN-2020,12147.75,12150.3,12010.6,12035.8,538138743,19372.67
31-JAN-2020,12100.4,12103.55,11945.85,11962.1,771278258,26044.91
01-FEB-2020,11939,12017.35,11633.3,11661.85,537634767,20598.12
03-FEB-2020,11627.45,11749.85,11614.5,11707.9,669815788,25415.26
04-FEB-2020,11786.25,11986.15,11783.4,11979.65,560430291,22338.5
05-FEB-2020,12005.85,12098.15,11953.35,12089.15,758032580,22998.05
06-FEB-2020,12120,12160.6,12084.65,12137.95,565116236,21735.92
07-FEB-2020,12151.15,12154.7,12073.95,12098.35,473475144,16339.61
10-FEB-2020,12102.35,12103.55,11990.75,12031.5,525674715,17185.14
11-FEB-2020,12108.4,12172.3,12099,12107.9,480491557,16209.52
12-FEB-2020,12151,12231.75,12144.3,12201.2,412399174,16598.33
13-FEB-2020,12219.55,12225.65,12139.8,12174.65,501510138,16315.27
14-FEB-2020,12190.15,12246.7,12091.2,12113.45,623053270,20759.51
17-FEB-2020,12131.8,12159.6,12037,12045.8,455412408,15439.55
18-FEB-2020,12028.25,12030.75,11908.05,11992.5,677307424,18853
19-FEB-2020,12090.6,12134.7,12042.1,12125.9,514030605,17610.89
20-FEB-2020,12119,12152,12071.45,12080.85,502875583,18831.51
24-FEB-2020,12012.55,12012.55,11813.4,11829.4,491224913,19421.04
25-FEB-2020,11877.5,11883.05,11779.9,11797.9,461349973,18510.82
26-FEB-2020,11738.55,11783.25,11639.6,11678.5,567990976,21887.07
27-FEB-2020,11661.25,11663.85,11536.7,11633.3,609266324,21623.47
28-FEB-2020,11382,11384.8,11175.05,11201.75,810523106,32297.15
02-MAR-2020,11387.35,11433,11036.25,11132.75,681148567,24204.55
03-MAR-2020,11217.55,11342.25,11152.55,11303.3,696919348,23281.2
04-MAR-2020,11351.35,11356.6,11082.15,11251,798021596,26928.46
05-MAR-2020,11306.05,11389.5,11244.6,11269,1353209029,26980.65
