date,heading,main_content,location,url,
12/20/2024,Gaganyaan-G1 mission to validate critical technologies in the run-up to manned flight: VSSC Director S. Unnikrishnan Nair,"Gaganyaan-G1, the first of three un-crewed test missions that will lead up to India‚Äôs maiden human spaceflight, is designed to mimic - end to end - the actual flight and validate critical technologies and capabilities including the Human-rated Launch Vehicle Mark-3 (HLVM3), S. Unnikrishnan Nair, Director, Vikram Sarabhai Space Centre (VSSC), has said. 
The Indian Space Research Organisation (ISRO) began the ëstacking,í or assembly, of HLVM3 at the Satish Dhawan Space Centre, Sriharikota, on December 18, coinciding with the tenth anniversary of the sub-orbital Crew Module Atmospheric Re-entry Experiment (CARE) mission of 2014.

",India,https://www.thehindu.com/sci-tech/science/gaganyaan-g1-mission-to-validate-critical-technologies-in-the-run-up-to-manned-flight-vssc-director-s-unnikrishnan-nair/article69009281.ece,
6/29/2020,"On India's First Human Mission's Launch Date, ISRO Chief Says...","Only one astronaut will fly to space in the Gaganyaan mission, Dr S Somanath said
New Delhi:
The Gaganyaan Mission is at a critical stage this year with three important missions scheduled for this year, ISRO Chairman Dr S Somanath told NDTV.
""We are at a critical juncture with Gaganyaan this year. We have three important missions scheduled. First and foremost is the unmanned mission to orbit, spend time in orbit and return; the second is a test about equipment and algorithm; the third is a test to check the launch pad scenario,"" he said.
The space agency also has a manned mission in the pipeline for which four astronaut-designates have been named. Of them, only one would ultimately fly to space, Dr Somanath said, adding that the others will also be trained.
Speaking about a launch date, Dr Somanath said, ""The first test flight of the Gaganyaan is scheduled for the end of next year if all goes well. But everything depends on the progress we are going to make.""
The first Gaganyaan crewed flight may last one day in space with the astronaut doing 16 orbits of Earth, this would effectively test the environmental life support and control systems says Dr Somanath.

Prashanth Nair, Angad Prathap, Ajit Krishnan, and Shubhanshu Shukla are the four test pilots of the Indian Air Force who have been chosen for the Gaganyaan mission. The human space flight mission aims to launch a crew of up to three members into a Low Earth Orbit and bring them back after a missing lasting up to a week.
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
Gaganyaan Mission, ISRO Chairman Dr S Somanath, Gaganyaan Mission Launch Date",New Delhi,https://www.ndtv.com/india-news/on-indias-first-human-mission-gaganyaans-launch-date-isro-chief-sr-s-somanath-says-5996094,
12/26/2024,"North India continues to reel under cold wave conditions; no 'white Christmas' in Srinagar, Shimla","North India continued to reel under severe cold wave conditions on Wednesday (December 26, 2024) though tourists in favourite destinations such as Srinagar and Shimla remained deprived of witnessing a ""white Christmas"". Srinagar recorded a low of minus 7.3 degrees Celsius while Tabo in the Lahaul and Spiti district was the coldest place in Himachal Pradesh, recording a night temperature of minus 10.6 degrees Celsius. Cold weather conditions persisted in states like Punjab, Haryana, Rajasthan and parts of Uttar Pradesh.

",India,https://www.thehindu.com/news/national/north-india-cold-wave-conditions-christmas-srinagar-shimla-delhi/article69028165.ece,
1/13/2024,"North India shivers under coldwave, IMD forecast suggests no immediate relief","Delhi continued to shiver on Saturday morning under the grasp of a relentless coldwave, accompanied by a thick layer of fog that has disrupted daily life for residents and commuters alike.
Commuters amid dense fog during a cold winter day in Patna, Bihar,India, Friday,12, 2024. (Several trains were delayed at Delhi's Hazrat Nizamuddin Railway Station due to dense fog amid the severe coldwave conditions.To combat the bone-chilling temperatures, streets and public spaces became dotted with small groups huddled together around bonfires to keep warm.
Drone visuals from Munirka and Vasant Vihar areas showed fog enveloping the city, reducing visibility and traffic slowing down to a crawl on major roads and highways.
The impact of the coldwave extended beyond Delhi, as neighbouring states experienced similar weather woes. In Uttar Pradesh, Ayodhya was blanketed in dense fog, causing disruptions to daily life. Similarly, in West Bengal's Siliguri, a thick fog cover added to the woes of residents.
According to the India Meteorological Department, Punjab, Haryana, Chandigarh, and Uttar Pradesh are experiencing dense to very dense fog at many places, severely affecting visibility and disrupting transportation. Jammu & Kashmir, Himachal Pradesh, Uttarakhand, and Rajasthan are grappling with isolated instances of dense fog, creating challenging conditions for residents.
The IMD predicts that dense to very dense fog conditions are likely to persist over North India for the next five days. The meteorological department anticipates cold day to severe cold day wave conditions over the plains of Northwest India for the next three days, with a gradual reduction thereafter.
Dense fog is forecasted in isolated pockets of Uttarakhand, Himachal Pradesh, Sub-Himalayan West Bengal & Sikkim, north Madhya Pradesh, Jammu division, West Rajasthan, Bihar, Odisha, East Rajasthan, Assam & Meghalaya, Mizoram & Tripura during specific periods in the coming days.
In addition to the foggy conditions, the IMD predicts that Cold Day to Severe Cold Day conditions will persist in many parts of Punjab and Haryana-Chandigarh on January 13, with cold day conditions likely in isolated pockets for the subsequent three days. Isolated pockets of Uttarakhand and Uttar Pradesh are also expected to experience Cold Day conditions today.

On Friday, the national capital woke up to bone-chilling temperatures as the mercury plummeted to 3.9 degrees Celsius, marking the lowest temperature recorded this season, according to officials from the IMD.
The maximum temperature for the day settled at 19.3 degrees Celsius, slightly below the season's average, further intensifying the coldwave that has engulfed the region. The IMD data revealed that Friday's minimum temperature was the lowest for this date since 2018. On January 12, 2017, the city recorded a low of 3 degrees Celsius.
Railway officials said that 23 Delhi-bound trains experienced delays ranging from one to six hours due to the thick fog.",India,https://www.hindustantimes.com/india-news/north-india-shivers-under-coldwave-imd-forecast-suggests-no-immediate-relief-101705113759696.html,
2/13/2024,India farmers march: What are their demands? Why is gov‚Äôt blocking roads?,"Thousands of farmers on tractors and trucks are marching towards the Indian capital, New Delhi, to push the government to address their demands, including guaranteed prices for their produce and debt waivers.Police in Haryana state, which borders Delhi, on Tuesday fired tear gas on farmers to prevent them from reaching the capital, which has been converted into a fortress, reviving memories of the 16-month-long agitation by the farmers two years ago. Multiple entry points to the capital have been sealed by erecting barriers of barbed wire, spikes and cement blocks.Authorities have banned large gatherings in Delhi and suspended internet services in several Haryana districts ahead of the March to Delhi, called by farmers from Punjab and Haryana along with several other northern states.

Here is more to know about the protest:Who is participating?
Aside from organisations from Punjab and Haryana, unions from the states of Uttar Pradesh, Rajasthan and Madhya Pradesh are also participating in the march as they demand government intervention to help the ailing agriculture sector, which is central to the countryís food security.

The Samyukta Kisan Morcha (SKM), Kisan Mazdoor Morcha (KMM) and Kisan Mazdoor Sangharsh Committee are spearheading the protests. The organisers said more than 200 farm unions are participating in the March to Delhi.

The SKM played a key role in the 2020-2021 protests that forced Prime Minister Narendra Modi to repeal three farm laws that farmers feared would have benefitted corporations at their expense. Farmers have accused Modiís government of failing to fulfill its promises to farmers since then, including doubling their incomes.The SKM has called for a nationwide rural and industrial strike to express disapproval of the government.

What are the farmersí demands?
The farmers are demanding legal guarantees of a minimum support price (MSP), which acts as a safety net for the farming community; waivers of farm loans; and a rollback of policies they say hurt farmers.

The MSP, which is the cost at which the government purchases crops from farmers, provides farmers with an assured income for their produce amid market uncertainties.

Farmers marching to New Delhi gather near the Punjab-Haryana border at Shambhu, India
Farmers marching to New Delhi distribute food near the Punjab-Haryana border at Shambhu, India [Rajesh Sachar/AP Photo]
The demand is for the MSP to be fixed at least 50 percent higher than the cost of production of any crop.

Want to come back to this article? Save it for later.
Save
Farmers are agitating against the planned privatisation of the electricity sector. State governments currently provide subsidised electricity to farmers, which helps bring input costs down.

They are also demanding compensation for the farmers who died during the 2020-2021 protests.

ìThere have been around 750 martyrs during the struggle,î said Vijoo Krishnan, the general secretary of the All India Kisan Sabha, an organisation participating in the current protests.


Another demand is the dismissal of a federal minister whose son was accused of running his car over farmers in Uttar Pradeshís Lakhimpur Kheri district in October 2021.

The protests also seek to ensure that the promises made by Modiís Bharatiya Janata Party (BJP) in 2021 are acted on.

ìThe three acts have been withdrawn, but BJP-ruled states are trying to bring them through the backdoor. Even the recent budget has sought to privatise post-harvest activities,î Krishnan said.

Modiís government formed a committee to address farming issues, but it failed to include representatives from Punjab, Haryana and Uttar Pradesh, all major grain producers. The committee has hardly made any progress.

In the meantime, farmers continue to struggle with longtime problems. Debt due to crop failures causes thousands of Indian farmers to take their lives every year. Agriculture output has been reduced by extreme weather and dwindling water sources caused by climate change.

How has the BJP government responded?
A government delegation has held negotiations with the protesting farmers, but the talks have not yielded results. On Tuesday, Indian police tear-gassed and detained some farmers who clashed with them at the border between Haryana and Punjab. Police also dropped canisters of tear gas from a drone at one of the border points in northern Haryana state that leads to Delhi.

Devinder Sharma, an Indian agricultural expert, pointed out that farmers have been cut off from the capital as Delhiís and Haryanaís borders have been fortified by authorities.

ìHow can we keep them away from the country? From the capital? From the decision-making?î he asked.

What were the 2020-2021 protests about?
During the earlier protests, farmers protested against laws passed by the BJP government that allowed farmers to sell produce directly to bulk buyers and make contract farming easier.

While Modi said the laws were aimed at liberating the farmers, they prompted the resignation of Harsimrat Kaur Badal, the food processing minister, who called the legislation ìanti-farmerî. Modi was forced to withdraw the three farm laws in 2021.

In 2022, Modiís administration promised it would set up a panel of farmers and state officials to find ways to ensure support prices for all farm produce. Farmers have accused the BJP government of lagging behind on that promise.

What impact will the protests have on the Indian elections?
The march comes months before a general election, which the BJP is expected to win.

ìWe donít know how this protest proceeds and if it results in workable solutions,î Sharma said, adding, ìIf it lingers on, then only will it have an impact on the election.î

Farmers comprise two-thirds of Indiaís 1.4 billion people, accounting for nearly a fifth of the countryís gross domestic product, according to government figures. Hence, farmers form an influential voting bloc, and parties try to gain their support.

Krishnan said the BJP is being condemned for its ìanti-farmer and anti-worker policiesî.

As it seeks the farmersí votes, the Modi government last week conferred the nationís highest civilian honour on former Prime Minister and agriculture leader Chaudhury Charan Singh and MS Swaminathan, a pioneer of the agricultural revolution in the 1960s and í70s.

Farmers marching to New Delhi gather near the Punjab-Haryana border at Shambhu, India
Farmers are marching to the Indian capital asking for a guaranteed minimum support price for all farm produce [Rajesh Sachar/AP Photo]
",India,https://www.aljazeera.com/news/2024/2/13/india-farmers-march-what-are-their-demands-why-is-govt-blocking-roads,
2/23/2024,"""Protesting Farmers' Rights Violated By Centre, 4 States"": Petition In Supreme Court","The four states named are Haryana, Punjab, Uttar Pradesh and Madhya Pradesh.
New Delhi:
A petition has been filed in the Supreme Court alleging violation of the rights of the ""peacefully protesting"" farmers by the Centre and some states.
The petition claimed the Centre and some states have issued ""threats"" and fortified the national capital's borders, after several farmer unions called protests seeking legal guarantee for minimum support price (MSP) for their crops and implementation of the Swaminathan committee's recommendations.
""The petitioner is seeking a writ of mandamus in the interest of the farmers who are facing unfair treatment in their peaceful protests,"" said the petition filed by Agnostos Theos, Managing Director of the Sikh Chamber of Commerce.
It claimed some of the protesters were forcibly arrested or detained by various state governments, and the Centre has unduly invoked prohibitory measures, including blocking social media accounts, rerouting traffic and blocking roads.
It alleged the governments of Haryana, Punjab, Uttar Pradesh and Madhya Pradesh have employed ""aggressive and violent measures"", like using tear gas, rubber bullets and pellets against the farmers, causing serious injuries.
In the absence of medical aid, the injuries were aggravated and also caused deaths, the plea claimed, adding that fortifications at Delhi's borders have created a ""hostile and violent situation"", and did not allow the farmers to exercise their democratic right to protest.
""The peaceful farmers have been subject to conditions similar to terrorists by their own government, simply for the exercise of their democratic and constitutional rights,"" it said.
The petitioner sought a direction against the Centre, the four states and the National Human Rights Commission to ""consider the reasonable demands of the farmers from across India, who are in continuous peaceful protest, demonstration and agitation"".
It also sought directions to the respondents to ensure ""fair and respectful treatment of the protesting farmers"", besides allowing free movement.
The petition sought a report about alleged human rights violations by police, besides adequate compensation for the victim farmers and their families.
Add NDTV As A Trusted Source
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
Track Latest News Live on NDTV.com and get news updates from India and around the world
",New Delhi,https://www.ndtv.com/india-news/protesting-farmers-rights-violated-by-centre-4-states-petition-in-supreme-court-5114484,
1/26/2024,"Republic Day parade 2024: India's military might, nari shakti on display","Despite the cold and thick layer of fog covering the national capital, lakhs of people reached the Kartavya Path as President Droupadi Murmu led the processions of India's 75th Republic Day.75th Republic Day.


A show of culture, diversity, military strength, women empowerment, and above all a show of ëViksit Bharatí (developed India) and ëBharat - Loktantra ki Matruka,í (India - mother of democracy) this diamond jubilee for India was led by the accomplished women of the nation.

",India,https://www.thehindu.com/news/national/india-celebrates-75th-republic-day-in-kartavya-path-in-new-delhi-on-january-26-2024/article67779619.ece,
9/6/2024,Farm crisis looms as monsoon extends its welcome into October harvest season,"The 2024 monsoon season has been extremely unpredictable as the Indian Meteorological Department (IMD) forecasts it could extend into October. The monsoon, it seems, has lost its rhythm, extending its stay well beyond its traditional September farewell. However, experts claim this year's extended monsoon is not an anomaly. It has been a slow trend in the making for over a decade.This shift in monsoon patterns has left farmers and policymakers grappling with the consequences of erratic rains, flooding, and damage to crops, highlighting the urgent need for adapting agricultural practices to this new climate reality. According to climatologists, the southwest monsoon onset and withdrawal have become slow. This has led to heavier-than-expected rainfall in northern and western parts of the country.

Flooding
Extreme weather events have led to increased flooding. (Photo: PTI)
Western states like Gujarat and Rajasthan have witnessed a staggering 30% increase in rainfall over the last decade, with heavy downpours becoming more frequent. In these arid and semi-arid regions, this shift from moderate monsoons to bouts of heavy rainfall has caused major disruptions, leading to floods and crop damage.

""One of the most notable changes is the extension of rains into October, especially in the Indo-Gangetic plains. Regions in Uttarakhand, Uttar Pradesh, Bihar, and Jharkhand, which typically prepare for harvest in early October, are now receiving unseasonal rains, delaying harvests and threatening the quality of crops like rice, maize, and pulses,"" said Vishwas Chitale, Senior Programme Lead at Council on Energy, Environment and Water (CEEW).

WHAT'S DRIVING THIS MONSOON CHANGE

Climate change is intensifying monsoon patterns in India, leading to more erratic and extreme rainfall.

Warmer ocean temperatures and atmospheric changes are increasing moisture levels, resulting in heavier downpours and flooding. El Nino and La Nina events further amplify this volatility.While El NiÒo initially weakened monsoons, causing droughts in some regions, La Nina leads to excessive rains and floods. These oscillating weather patterns, combined with the broader effects of climate change, are worsening the unpredictability of monsoons, and disrupting agriculture, water management, and daily life across India.

INDIA's FOOD SECURITY AT STAKE

Kharif crops, which rely on a well-timed retreat of the monsoon, are particularly vulnerable to this extended rainy season.

The Ministry of Agriculture recently reported that 408.72 lakh hectares of paddy were sown in 2024, up from 393.57 lakh hectares the previous year.

However, with excess rain-soaking fields meant for harvest, the bumper sowing might not translate into a good yield. The risk of crop losses is heightened by the fact that rain-fed crops like paddy and maize are highly sensitive to moisture levels during their critical harvest period.This shifting monsoon pattern has become a growing concern for Indiaís farming community, especially in regions where rain-fed agriculture dominates.

The unpredictability of the rains and their increasing intensity have already had a significant impact on crop production.

Between 2015-16 and 2021-22, hydro-meteorological calamities like floods and heavy rainfall damaged 33.9 million hectares of cropped area, according to data from the Ministry of Agriculture.

""Increased rainfall in western India could lead to more frequent and intense flooding. However, the existing water management infrastructure is insufficient to handle these surges, often resulting in pluvial floods during extreme rainfall. Sustainable approaches, like integrating surface and groundwater use, are necessary to mitigate these effects,"" Dr Kasiapillai S. Kasiviswanathan Associate Professor at the Indian Institute of Technology, Roorkee, told IndiaToday.in.

Narendra Modi
Prime Minister Narendra Modi with Union Minister for Agriculture and Farmers Welfare Shivraj Singh Chouhan during the release of 109 high yielding, climate resilient and biofortified varieties of crops. (PTI Photo)
ADVERTISEMENT
With extreme weather events like flooding becoming more common, experts emphasise the need for climate-resilient agricultural practices.

Diversifying crops, improving drainage systems, and adopting drought- and flood-resistant varieties are just some of the strategies that could help mitigate the impact of erratic monsoons.

As India grapples with the shifting patterns of its lifeline, the monsoon, the road ahead will require an overhaul of agricultural planning to safeguard food security and farmer livelihoods.",India,https://www.indiatoday.in/environment/story/monsoon-season-october-rains-farming-crisis-climate-change-kharif-crops-damage-2594447-2024-09-06,
11/26/2024,Next round of India-Asean trade agreement review talks in February,"The next round of talks for the review meeting of the India-Asean free trade agreement in goods will be held in February next year, an official statement said on Saturday (November 23, 2024).",India,https://www.thehindu.com/business/next-round-of-india-asean-trade-agreement-review-talks-in-feb/article68903318.ece,
12/26/2024,"EV funding in India drops 37% from 2022 to 2024 amid policy, sales slowdown","Indiaís electric vehicle (EV) sector has witnessed a sharp decline in funding, dropping from $934 million in 2022 to $586 million in 2024, according to a report by The Economic Times citing Venture Intelligence data.
 
This decline, attributed to policy changes and slower sales growth, has driven investors to prioritise unit economics and profitability before committing capital. While the number of deals in 2024 remained steady at 44, the funding volume highlights a ëcautious investment approachí, the news report said.
Transition from FAME-II to PM-E drive scheme
Government policies have always played a pivotal role in shaping the trajectory of the EV sector. The PM-E drive scheme, introduced in October, replaces the FAME-II programme and aims to phase out subsidies gradually. Under the new policy, incentives for electric two-wheelers are capped at Rs 5,000 per kilowatt-hour (kWh) for the first year, with a maximum subsidy of Rs 10,000 per vehicle. 
 
 
In contrast, FAME-II had provided higher incentives of Rs 15,000 per kWh, covering up to 40 per cent of a vehicleís cost, which was later reduced to Rs 10,000 per kWh in 2023.
 
The PM-E drive scheme notably excludes subsidies for electric four-wheelers and hybrid vehicles, a move that has impacted original equipment manufacturers (OEMs) significantly.Major deals amid reduced investor confidence
Despite the overall decline in funding, the sector saw a few high-profile investments. Ather Energy secured $71 million from the National Investment and Infrastructure Fund (NIIF), attaining unicorn status and setting the stage for an upcoming IPO. However, such large deals have become exceptions in a more cautious funding environment.
Slower growth in EV sales
The growth rate in EV sales has also decelerated. While over 1.9 million EVs were sold in 2024 ó representing a 24.5 per cent increase from 1.5 million in 2023 ó this marks a significant slowdown compared to the 50 per cent growth seen between 2022 and 2023. Data from the governmentís Vahan platform indicates that the electric two-wheeler segment, which includes companies like Ola Electric, accounted for 1.13 million of these sales in 2024, up from 860,000 units in 2023, the report said.
 
Despite challenges, the Indian governmentís target of 30 per cent EV penetration in new vehicle registrations by 2030 continues to drive optimism. Investors are shifting focus to emerging areas such as component manufacturing, battery swapping, charging infrastructure, and financing. These segments are gaining traction and attracting fresh capital.
 
Battery swapping, in particular, has seen notable growth. The Economic Times report quoted Pulkit Khurana, co-founder of Battery Smart, saying there has been a rising adoption of battery swapping in commercial applications like quick commerce and food delivery.
 
Battery Smart surpassed 55 million swaps last month and is conducting over 100,000 swaps daily, he said. Battery Smart raised $65 million at a $340 million valuation in a funding round led by LeapFrog Investments in June.
 

Credit: PIB
Credit: PIB
What is the PM-E drive subsidy scheme for EVs?
The PM Electric Drive Revolution in Innovative Vehicle Enhancement (PM-E drive) scheme was launched on October 1, 2024, with a budget of Rs 10,900 crore. This initiative aims to accelerate the adoption of electric vehicles (EVs) by providing demand incentives for various categories, including electric two-wheelers (e-2Ws), three-wheelers (e-3Ws), e-buses, and e-ambulances, among others. The scheme will run until March 31, 2026, and also focuses on establishing essential charging infrastructure and enhancing the domestic EV manufacturing ecosystem.
 
To streamline the subsidy process, an e-voucher system has been introduced. Customers will receive an Aadhaar-authenticated e-voucher at the time of purchase, which will reduce the upfront cost of their EV. This e-voucher can be downloaded via a link sent to the customerís registered mobile number.",India,https://www.business-standard.com/industry/auto/india-ev-sector-funding-decline-policy-impact-pm-e-drive-2024-124122600287_1.html,
