date,heading,main_content,location,url
5/8/2025,Operation Sindoor: How India destroyed nine terrorist camps in Pakistan,"Story so far: The Indian Armed forces conducted missile strikes on nine terror camps in Pakistan and Pakistan-occupied Kashmir (PoK) on Wednesday (May 7, 2025), in retaliation to the terror attack in Pahalgam on April 22, in which 25 Indians and a Nepali citizen were killed. The targeted terror sites include Bahawalpur (Jaish-e-Mohammad (JeM) stronghold) and Muridke (Lashkar-e-Taibaís (LeT) base).",India,https://www.thehindu.com/news/national/operation-sindoor-how-india-destroyed-nine-terrorist-camps-in-pakistan/article69549054.ece
9/2/2025,India sets eyes on $1-trillion semiconductor market; PM promises faster approvals,"The Prime Minister said that the days are not far when the smallest chip made in India will drive the biggest change in the world.India will hold a significant share in the global semiconductor market, which is set to reach $1 trillion in size, Prime Minister Narendra Modi said on Tuesday (September 2, 2025), adding that the government was working to ensure faster approvals to reduce the time it takes to start manufacturing semiconductors in India.",India,https://www.thehindu.com/news/national/pm-modi-addresses-the-inaugural-session-of-semicon-india-2025/article70003009.ece
8/30/2024,Govt taking various measures at policy level to help fintech sector: PM Modi at Global Fintech pavilion in Mumbai,"Prime Minister Narendra Modi on Friday (August 30, 2024) said the government is taking various measures at the policy level to promote the fintech sector, which attracted over $31 billion investments in the last 10 years, and the abolition of the Angel Tax is also a step towards the growth of the segment.",India,https://www.thehindu.com/news/national/prime-minister-narendra-modi-visits-global-fintech-pavilion-in-mumbai/article68584712.ece
1/21/2025,"Trump inauguration highlights: U.S. President takes charge for second term, signs flurry of executive orders","Donald Trump hailed the dawn of a ìgolden ageî for the United States as he was sworn in as the countryís 47th President on Monday (January 20, 2025). ìThe golden age of America begins right now. From this day forward our country will flourish and be respected again all over the world,î he said.


On the first day of his new term, President Donald Trump signed orders ranging from climate to immigration, along with sweeping pardons for many of those who stormed the capital on January 6, 2021.

Some of his orders delivered on promises he made during the 2024 campaign. Others, like a withdrawal from the World Health Organization (WHO), had not been expected. 



Countries across the world are viewing Mr. Trumpís ascension to the White House with a mixture of scepticism and criticism. Some of his executive orders have been received with disapproval. JANUARY 21, 2025 16:35
Putin vows to further develop ties with Xi just hours after Trump inauguration
Russian President Vladimir Putin held a video call with Chinese President Xi Jinping on Tuesday in which he proposed further developing their strategic partnership just hours after Donald Trump was sworn in as the 47th U.S. president. 
Mr. Putin waved at Mr. Xi and addressed Chairman Xi as his ìdear friendî, saying he wanted to outline ìnew plans for the development of the Russian-Chinese comprehensive partnership and strategic cooperation.î 
ìI agree with you that cooperation between Moscow and Beijing is based on a broad commonality of national interests and a convergence of views on what relations between major powers should be,î Mr. Putin told Mr. Xi.
ìWe build our ties on the basis of friendship, mutual trust and support, equality and mutual benefit. These connections are self-sufficient, independent of domestic political factors and the current global situation.îJANUARY 21, 2025 16:31
EU must be ëpragmaticí with U.S., ëengageí with China: von der Leyen
EU chief Ursula von der Leyen called Tuesday for the bloc to ìdeepenî ties with China and boost relations with India, while taking a ìpragmaticî approach with Donald Trumpís combative new U.S. administration. 
In an opening address to the World Economic Forum in Davos, Ms. von der Leyen emphasised cooperation rather than confrontation with Mr. Trump, who has promised punitive import tariffs on key partners as part of his trade policy. 
ìOur first priority will be to engage early, discuss common interests, and be ready to negotiate,î the commission chief told the gathering of the worldís elites in Switzerland. 
ìWe will be pragmatic, but we will always stand by our principles,î said Ms. von der Leyen, stressing that Europe remained committed to the Paris climate agreement despite Mr. Trumpís order to withdraw the United States from the deal. 
",Global,https://www.thehindu.com/news/international/donald-trump-inauguration-highlights-january-20-2025-white-house-jd-vance/article69118688.ece
Not Found,"Ukraine, allies push for 30-day ceasefire starting May 12","The leaders of France, Germany, Poland and the United Kingdom arrived together at the train station in Kyiv, and met Ukrainian President Volodymyr Zelenskyy shortly after to join a ceremony at Kyivís Independence Square marking the 80th anniversary of the end of World War II Ukraine and its allies are ready for a ìfull, unconditional ceasefireî with Russia for at least 30 days starting on Monday (May 12, 2025), Ukrainian Foreign Minister Andrii Sybiha said Saturday (May 10, 2025).
His remarks came as the leaders of four major European countries visited Kyiv, amid a push for Moscow to agree to a truce and launch peace talks on ending the nearly three-year war. It coincided with the last day of a unilateral three-day ceasefire declared by Russia that Ukraine says the Kremlinís forces have repeatedly violated.

",Global,https://www.thehindu.com/news/international/ukraine-allies-push-for-30-day-ceasefire-starting-may-12/article69560862.ece
5/10/2025,"Ukraine, allies offer 30-day ceasefire; EU says ball now in Russia's court","Ukraine and its international allies have expressed readiness to enter into a full and unconditional 30-day ceasefire with Russia starting Monday (May 12), Ukrainian Foreign Minister Andrii Sybiha confirmed on Saturday (May 10).
 
The announcement comes amid renewed diplomatic efforts to de-escalate the conflict, now nearing its third anniversary, and follows the arrival of leaders from four major European nations in Kyiv to bolster support for peace talks. The proposed truce also coincides with the final day of a three-day unilateral ceasefire declared by Russia, which Ukraine claims has been repeatedly breached by Kremlin forces.Writing on social media platform X, Mr Sybiha said: ìUkraine and all allies are ready for a full unconditional ceasefire on land, air, and at sea for at least 30 days starting already on Monday. If Russia agrees and effective monitoring is ensured, a durable ceasefire and confidence-building measures can pave the way to peace negotiations.î A similar truce proposal was initially put forward by the United States in March, which Ukraine accepted. However, Moscow has thus far refrained from endorsing the terms, reportedly seeking conditions more favourable to its strategic interests.
 
Support for the ceasefire plan has also come from the European Union. President of the European Commission Ursula von der Leyen lent her backing on Saturday, writing on X: ìWe support the proposal for a full and unconditional 30-day ceasefire. It must be implemented without preconditions to pave the way for meaningful peace negotiations.î She added: ìWe stand ready to maintain strong pressure on Russia and impose further biting sanctions in the event of a breach of a ceasefire.î Russia-Ukraine conflict
Russiaís invasion of Ukraine, launched in February 2022, has resulted in one of the largest and most devastating conflicts in Europe since World War II. The war has caused tens of thousands of deaths, displaced millions, and led to widespread destruction of infrastructure and civilian areas. The conflict has also triggered a profound geopolitical crisis, drawing in extensive support for Ukraine from Western countries and resulting in severe economic sanctions against Russia.",Global,https://www.business-standard.com/world-news/ukraine-allies-propose-30-day-ceasefire-russia-eu-urges-peace-talks-125051000874_1.html
3/25/2025,"Russia, Ukraine agree to end Black Sea military action: U.S.","Russia and Ukraine agreed Tuesday (March 25, 2025) to halt military strikes in the Black Sea and on energy sites during talks brokered by the United States, which offered as a first concrete incentive to Moscow to ease pressure on agricultural exports. With U.S. President Donald Trump pushing for a rapid end to the war that has killed tens of thousands of people, U.S. negotiators shuttled separately over three days in the Saudi capital Riyadh between delegations from Ukraine and Russia.

",Global,https://www.thehindu.com/news/international/russia-ukraine-agree-to-end-black-sea-military-action-us/article69374654.ece
3/25/2025,"Ukraine, Russia have agreed on Black Sea ceasefire: White House","The United States announced on Tuesday that it has reached separate agreements with Ukraine and Russia to ensure safe navigation in the Black Sea and to prohibit strikes on energy facilities in both nations. n a statement, the White House said that Washington will help restore Russia's access to the world market for agricultural and fertiliser exports and will continue facilitating talks on both sides in a bid toward achieving a sustainable peace.

The agreements, if implemented, mark a positive step towards a wider ceasefire, which US sees a stepping stone towards peace talks aimed at ending Russia's three-year-old war in Ukraine.However, Russia, has expressed distrust in Ukrainian President Volodymyr Zelenskyy and stated that it would only sign a Black Sea deal if Washington issued an ""order"" to him to respect it.

""We will need clear guarantees. And given the sad experience of agreements with just Kyiv, the guarantees can only be the result of an order from Washington to Zelenskyy and his team to do one thing and not the other,"" Foreign Minister Sergei Lavrov said in televised comments.

Ukraine's defence minister said Kyiv had agreed to both a maritime ceasefire and a pause by Russia and Ukraine in attacks on each other's energy infrastructure.Here's the White House statement on Russia:

""The United States and Russia have agreed to ensure safe navigation, eliminate the use of force, and prevent the use of commercial vessels for military purposes in the Black Sea.

The United States will help restore Russia's access to the world market for agricultural and fertiliser exports, lower maritime insurance costs, and enhance access to ports and payment systems for such transactions.

The United States and Russia agreed to develop measures for implementing President Trump's and President Putin's agreement to ban strikes against energy facilities of Russia and Ukraine.

The United States and Russia welcome the good offices of third countries with a view toward supporting the implementation of the energy and maritime agreements.

The United States and Russia will continue working toward achieving a durable and lasting peace. The United States reiterated President Donald J. Trump's imperative that the killing on both sides of the Russia-Ukraine conflict must stop, as the necessary step toward achieving an enduring peace settlement.

To that end, the United States will continue facilitating negotiations between both sides to achieve a peaceful resolution, in line with the agreements made in Riyadh.

The United States expresses gratitude to Crown Prince Mohammed bin Salman for his leadership and hospitality in once again facilitating these important discussions in the Kingdom of Saudi Arabia.""Ukraine says it supports ceasefire accords brokered by US

Ukrainian Defence Minister Rustem Umerov said Kyiv supported two ceasefire agreements with Russia that were announced by the United States on Tuesday and that Ukraine would welcome third countries monitoring the accords.

""Ukraine and the United States held bilateral consultations in Riyadh focused on the security of energy and critical infrastructure, safe navigation in the Black Sea, and the release and return of our prisoners and children,"" he said.

""Fulfilling the task of the President of Ukraine, we continue to work on bringing a just peace and ensuring security for our country. This meeting is a logical extension of the successful consultations with the United States in Jeddah. No one wants a just peace more than Ukrainians, and our position remains honest, transparent and consistent,"" Umerov added.",Global,https://www.indiatoday.in/world/story/ukraine-russia-agreed-ensure-safe-navigation-black-sea-white-house-2698997-2025-03-25
6/15/2025,"Israel-Iran conflict updates: Iran announces Operation Honest Promise 3 against Israel, state TV says","Iranian President Masoud Pezeshkian warned on Saturday (June 14, 2025) that there would be a ‚Äúmore severe and powerful response‚Äù if Israel continued to strike his country. ‚ÄúThe continuation of Zionist aggression will be met with a more severe and powerful response from the Iranian armed forces,‚Äù Mr. Pezeshkian said. Israelís strikes also put further talks between the United States and Iran over a nuclear accord into doubt. The U.S. and Iran were scheduled to meet in Oman, on Sunday. But AP reports that, Oman says talks between Iran and the U.S. over Tehranís nuclear programme ëwill not now take placeí after Israeli strikes. Israel launched blistering attacks on the heart of Iranís nuclear and military structure on Friday, deploying warplanes and drones previously smuggled into the country to assault key facilities and kill top generals and scientists ó a barrage it said was necessary before its adversary got any closer to building an atomic weapon.Iran retaliated by unleashing scores of ballistic missiles on Israel, where explosions flared in the skies over Jerusalem and Tel Aviv and shook the buildings below.

Britain moving jets to Middle East to support regional security, PM Starmer says

Britain is moving additional military assets, including fighter jets, to the Middle East to provide support across the region, Prime Minister Keir Starmer told reporters on Saturday as he was en route to a Group of Seven meeting in Canada.

Iran and Israel traded missiles and airstrikes on Saturday, the day after Israel launched an air offensive against its old enemy, killing commanders and scientists and bombing nuclear sites in a stated bid to stop it building an atomic weapon.

ìWe are moving assets to the region, including jets, and that is for contingency support in the region,î Mr. Starmer said. - Reuters

Iran-U.S. mediator Oman says no nuclear talks on June 15

A sixth round of nuclear talks between Tehran and Washington, planned for this weekend, has been cancelled, mediator Oman said on June 14, following waves of Israeli attacks on Iran.

ìThe Iran U.S.-talks scheduled to be held in Muscat this Sunday, June 15, will not now take place,î Omani Foreign Minister Badr Albusaidi said in a post on X, adding that ìdiplomacy and dialogue remain the only pathway to lasting peaceî.

- AFP

Israelís Defense Minister warns Iran that ëTehran will burní if it continues firing missiles

Israelís defense minister warned Iran on Saturday that ìTehran will burnî if it continues firing missiles. 

Speaking after an assessment meeting with the armyís chief of staff, Defense Minister Israel Katz said that Iran will pay a heavy price for harming Israeli citizens.

His comments come after Iran launched retaliatory strikes on Israel overnight Saturday following Israelís attack on Iranís nuclear program Friday morning. -- AP

India designates emergency numbers in view of the Israel-Iran conflict

The Indian Embassy in Iran has designated emergency numbers in view of the Israel-Iran conflict.

",Global,https://www.thehindu.com/news/international/israel-iran-conflict-june-14-2025-updates/article69693652.ece
9/10/2025,Maps: Israel has attacked six countries in the past 72 hours," On Tuesday, Israel launched a targeted air strike on a Hamas leadership compound in Qatarís capital, Doha, during a meeting to discuss a US-proposed ceasefire for Gaza.

The strike killed six people, including the son of senior Hamas leader Khalil al-Hayya, the director of al-Hayyaís office, three bodyguards and a Qatari security officer. However, its top leaders are reported to have survived the attack.The attack was part of a wider wave of Israeli strikes extending beyond its immediate borders, and marked the sixth country attacked in just 72 hours and the seventh since the start of this year. Israel continues to bombard Gaza
Israeli attacks across Gaza have killed at least 150 people and injured more than 540 others since Monday.

On Monday, 67 people were killed and hospitals received 320 wounded, including 14 people killed while seeking aid, while six people ñ among them two children ñ died from famine-related causes. On Tuesday, another 83 people were killed and 223 were injured.

Israel is continuing its assault on Gaza City, targeting high-rise buildings, destroying infrastructure, and forcing residents from their homes, leaving many with nowhere safe to seek shelter.Since its onset in October 2023, Israelís war on Gaza has killed at least 64,656 people, including at least 404 who have died of starvation. Thousands more have been lost under the rubble and are believed to be dead.Despite a truce, Israel bombs Lebanon
On Monday at 1:00pm local time (10:00am GMT), Israeli warplanes carried out strikes in the Bekaa and Hermel districts of eastern Lebanon, killing at least five people. Israelís military claimed it had struck weapons depots and military facilities used by Hezbollah, though the assertion could not be independently verified. Hezbollah has not yet issued a response.The attacks marked the latest breach of a ceasefire agreement signed last November.

Despite the truce, Israel has continued near-daily assaults on Lebanese territory, particularly in the south, and maintains an occupation at five border outposts in violation of the ceasefireís withdrawal terms.

On Tuesday, an Israeli drone strike was reported at the entrance of the village of Barja, about 30km (19 miles) south of Beirut, wounding a Hezbollah member.Israel targets Syria
On late Monday night, Israeli warplanes struck several sites in Syria, hitting a Syrian air force base in Homs and a military barracks near Latakia, according to the UK-based Syrian Observatory for Human Rights (SOHR).

Residents reported powerful explosions in Homs and ambulances rushing to the scene in Latakia, though there were no immediate reports of casualties.

Syriaís Ministry of Foreign Affairs and Expatriates condemned the attacks as a ìblatant violationî of its sovereignty and a ìdirect threatî to its national and regional security. State media described the strikes as part of ìa series of aggressive escalationsî by Israel aimed at undermining Syrian sovereignty.

Since the fall of former President Bashar al-Assad in December 2024, Israel has launched hundreds of strikes on military sites and infrastructure across Syria. It has also expanded its presence in the occupied Golan Heights by seizing the demilitarised buffer zone, in violation of a 1974 disengagement agreement with Damascus.

The SOHR reports that Israel has already carried out nearly 100 attacks this year, including 86 air raids and 11 ground assaults, destroying approximately 135 sites and killing 61 people.

Gaza flotilla attacked twice off the coast of Tunisia
On Monday night, the Global Sumud Flotillaís (GSF) main ship, the Family Boat, was struck by a suspected Israeli drone while docked at the Tunisian port of Sidi Bou Said, igniting a fire.

The 23-metre (76-foot) vessel, sailing under a Portuguese flag and carrying the flotillaís steering committee, had six people on board. According to the GSF, the blaze damaged the main deck and storage areas but was quickly extinguished by passengers. All crew and activists were reported as safe.

The Family Boat is part of a coalition of more than 50 vessels with delegates from at least 44 nations seeking to challenge Israelís blockade of Gaza. It departed on August 31, 2025, before joining other ships at Sidi Bou Said port.A second attack followed late on Tuesday night, when another flotilla vessel, the Alma, sailing under a UK flag, was also targeted by a suspected Israeli drone in Tunisian waters. The GSF said the strike caused fire damage to the shipís top deck, though the flames were brought under control and no casualties were reported.

Since 2010, several flotillas have attempted to break the blockade of Gaza, with most being intercepted or attacked by Israel in international waters.

Israel targets Hamas leaders in Qatar
The attack on Qatar, nearly 2,000 km (1,243 miles) from Israel, marks the first time Israel has struck the small Gulf nation, which has hosted multiple rounds of negotiations between Hamas, Israel and the United States.

The explosions were heard across Doha with thick smoke rising above the skyline. Israelís military later confirmed it had struck a compound in the West Bay Lagoon area, a district which is home to foreign embassies, schools, nurseries, supermarkets and residential compounds housing native Qataris and foreign residents.

The Hamas leadership has been hosted by Qatar at the request of the United States, which also has a regional command centre, CENTCOM, located just 35km (22 miles) away from the location of the attack.Israel attacks Yemenís capital
Israel launched an air strike on Yemenís capital, Sanaa, on Wednesday, targeting Houthi positions. The strike hit Sanaa airport, marking the second attack on the site in a month. Israel previously struck Sanaa airport on May 6, destroying its terminal building and badly damaging the runway.

On August 28, 2025, Israeli air strikes targeted a Houthi government meeting in the capital, killing Houthi Prime Minister Ahmed al-Rahawi and several other senior officials.

",Global,https://www.aljazeera.com/news/2025/9/10/maps-israel-has-attacked-six-countries-in-the-past-72-hours
